"source","target","sectionlength"
"UKN1657","UKN3319","2.628"
"UKN2941","UKN1657","6.646"
"UKN4199","UKN2941","6.998"
"UKN1260","UKN8311","1.059"
"UKN2855","UKN2621","1.897"
"UKN2435","UKN5436","3.895"
"UKN4278","UKN2855","0.398"
"UKN1525","UKN5422","0.057"
"UKN1525","UKN1747","2.718"
"UKN1170","UKN5297","0.507"
"UKN1170","UKN5250","0.9"
"UKN1170","UKN8006","4.376"
"UKN2836","UKN1525","1.789"
"UKN1747","UKN8030","0.627"
"UKN4123","UKN3449","10.088"
"UKN3325","UKN3402","3.507"
"UKN1809","UKN2116","2.565"
"UKN1219","UKN3172","1.784"
"UKN1765","UKN5319","1.068"
"UKN1765","UKN5349","0.513"
"UKN1765","UKN5318","0.824"
"UKN1765","UKN3055","2.067"
"UKN3370","UKN3463","4.075"
"UKN3402","UKN1405","1.783"
"UKN8030","UKN3447","1.81"
"UKN8023","UKN4278","1.284"
"UKN7765","UKN7764","0.359"
"UKN2116","UKN3325","1.789"
"UKN3172","UKN8254","0.438"
"UKN7764","UKN1836","5.903"
"UKN7768","UKN1809","1.565"
"UKN8254","UKN8016","0.251"
"UKN2159","UKN1170","8.875"
"UKN8016","UKN7768","1.438"
"UKN1405","UKN3370","2.164"
"UKN3450","UKN2159","3.769"
"UKN3055","UKN3183","1.545"
"UKN2976","UKN1765","6.178"
"UKN5436","UKN2836","0.407"
"UKN2544","UKN5269","0.073"
"UKN1870","UKN3450","5.454"
"UKN1836","UKN1870","5.096"
"UKN3447","UKN8023","0.905"
"UKN3447","UKN5434","0.505"
"UKN3449","UKN2976","5.175"
"UKN8006","UKN2534","12.385"
"UKN3086","UKN5336","1.21"
"UKN3086","UKN5317","0.377"
"UKN2621","UKN1219","1.752"
"UKN2534","UKN4123","3.456"
"UKN2534","UKN4618","0.169"
"UKN1358","UKN7765","2.311"
"UKN3183","UKN3086","2.395"
"UKN3463","UKN5337","1.073"
"UKN3463","UKN1358","6.02"
"UKN1692","UKN7476","0.465"
"UKN1346","UKN5245","0.63"
"UKN2859","UKN5247","0.789"
"UKN2859","UKN3260","0.923"
"UKN1515","UKN2776","3.137"
"UKN2569","UKN4656","8.584"
"UKN3479","UKN4654","0.188"
"UKN3479","UKN4655","3.085"
"UKN2144","UKN1515","5.259"
"UKN1184","UKN1346","7.588"
"UKN1299","UKN1318","4.045"
"UKN1299","UKN4658","0.124"
"UKN2042","UKN4285","4.004"
"UKN5336","UKN3056","1.792"
"UKN1100","UKN1184","4.293"
"UKN2624","UKN2144","4.018"
"UKN4283","UKN2544","0.358"
"UKN4285","UKN2151","0.652"
"UKN1318","UKN5454","0.776"
"UKN1318","UKN2722","2.193"
"UKN4655","UKN2569","4.073"
"UKN5067","UKN7282","2.169"
"UKN5245","UKN3182","3.832"
"UKN2795","UKN2042","3.315"
"UKN2795","UKN4659","0.493"
"UKN2722","UKN2795","2.971"
"UKN2151","UKN5067","2.982"
"UKN2776","UKN1299","2.89"
"UKN2544","UKN2859","3.042"
"UKN4656","UKN1692","0.406"
"UKN4810","UKN7743","0.809"
"UKN7282","UKN3479","6.263"
"UKN3260","UKN4810","0.506"
"UKN3182","UKN2624","4.805"
"UKN7743","UKN1100","3.315"
"UKN3056","UKN4283","1.006"
"UKN3056","UKN4657","0.279"
"UKN4748","UKN3403","0.718"
"UKN7476","UKN3303","6.772"
"UKN3303","UKN4748","3.024"
"UKN4733","UKN7335","0.381"
"UKN7987","UKN7988","4.291"
"UKN1999","UKN3169","1.933"
"UKN3169","UKN1352","0.577"
"UKN5002","UKN7814","1.921"
"UKN7983","UKN8195","0.4"
"UKN7969","UKN7968","0.796"
"UKN2133","UKN2132","0.119"
"UKN1413","UKB1006","1.208"
"UKB1001","UKN1426","1.066"
"UKN2132","UKN1413","0.793"
"UKN1426","UKN2133","0.78"
"UKB1006","UKN1421","0.63"
"UKN3377","UKN1356","0.781"
"UKN1355","UKN2245","0.97"
"UKN1860","UKN3377","0.62"
"UKN2249","UKN1965","1.121"
"UKN2245","UKN4931","1.059"
"UKN1421","UKN2249","0.735"
"UKN2036","UKN1860","1.412"
"UKN1356","UKN1355","0.747"
"UKN1965","UKN2036","0.897"
"UKN3439","UKN3440","0.12"
"UKN4931","UKN3439","0.467"
"UKN3440","UKN5456","0.814"
"UKN1019","UKN3039","1.204"
"UKN3039","UKN8433","1.136"
"UKN5456","UKN1019","2.094"
"UKN8433","UKN8045","0.782"
"UKN4409","UKN4326","0.297"
"UKN4024","UKN4409","0.313"
"UKN4326","UKN7814","0.705"
"UKN7681","UKN7397","0.46"
"UKN1593","UKN3416","1.898"
"UKN3416","UKN5424","4.969"
"UKN1309","UKN1593","2.015"
"UKN1310","UKN1309","1.133"
"UKN4807","UKN4334","0.746"
"UKN3054","UKN4807","3.775"
"UKN7713","UKN7730","1.587"
"UKN8233","UKN3291","1.562"
"UKN7922","UKN8233","0.335"
"UKN4527","UKN4332","0.157"
"UKN5232","UKN4245","0.325"
"UKN4917","UKN4069","0.426"
"UKN5287","UKN5310","0.187"
"UKN3291","UKN4176","3.889"
"UKN4332","UKN5232","0.646"
"UKN4323","UKN5287","0.136"
"UKN4176","UKN4323","0.337"
"UKN5310","UKN4917","0.342"
"UKN4494","UKN4527","0.209"
"UKN5346","UKN4494","1.999"
"UKN4069","UKN5346","1.271"
"UKN5182","UKN1338","1.629"
"UKN1164","UKN1167","1.868"
"UKN1678","UKN7292","2.728"
"UKN1762","UKN1678","1.174"
"UKN7296","UKN1546","0.267"
"UKN7299","UKN1971","0.538"
"UKN1546","UKN1762","1.546"
"UKN1407","UKN1164","1.279"
"UKN1971","UKN7296","2.355"
"UKN1167","UKN1165","1.212"
"UKN1167","UKN5199","0.066"
"UKN7292","UKN1407","0.424"
"UKN1569","UKN5341","1.896"
"UKN3200","UKN1223","0.695"
"UKN3200","UKN1223","0.457"
"UKN3200","UKN4619","0.526"
"UKN5384","UKN5436","0.644"
"UKN5436","UKN3329","0.353"
"UKN8215","UKN8077","0.974"
"UKN5026","UKN7195","1.06"
"UKN5436","UKN4474","0.149"
"UKN5384","UKN5436","0.585"
"UKN4474","UKN2836","0.232"
"UKN2836","UKN1525","0.727"
"UKN2973","UKN7320","0.396"
"UKN1859","UKN7306","0.677"
"UKN2331","UKN3115","1.038"
"UKN2765","UKN4347","10.019"
"UKN3115","UKN7298","0.629"
"UKN4422","UKN2725","0.403"
"UKN7320","UKN4611","0.469"
"UKN4347","UKN2973","1.19"
"UKN7298","UKN1859","3.809"
"UKN7306","UKN4422","1.418"
"UKN1338","UKN2331","1.515"
"UKN2725","UKN2765","5.73"
"UKN8596","UKN8499","2.194"
"UKN8499","UKN8498","0.272"
"UKN2835","UKN8360","1.361"
"UKN3154","UKN3152","0.601"
"UKN8261","UKN3041","0.195"
"UKN2659","UKN3275","2.253"
"UKN1752","UKN2659","0.816"
"UKN3041","UKN9999","0.913"
"UKN1452","UKN3176","1.902"
"UKN2009","UKN1452","1.408"
"UKN3152","UKN2554","1.837"
"UKN2554","UKN2555","1.867"
"UKN8360","UKN1752","0.968"
"UKN3275","UKN3154","2.487"
"UKN2555","UKN2009","1.823"
"UKN9999","UKN2835","0.762"
"UKN1485","UKN1815","2.203"
"UKN3176","UKN8014","0.37"
"UKN1815","UKN1805","2.486"
"UKN8014","UKN1485","1.486"
"UKN2340","UKN1304","4.917"
"UKN2150","UKN2687","3.51"
"UKN1304","UKN1696","1.443"
"UKN1805","UKN1098","3.208"
"UKN1805","UKN5321","0.431"
"UKN1696","UKN2150","8.018"
"UKN1098","UKN2340","3.065"
"UKN5353","UKN4433","0.902"
"UKN4433","UKN8330","0.794"
"UKN2587","UKN1831","2.809"
"UKN1334","UKN2433","0.994"
"UKN2433","UKN2587","1.673"
"UKN1831","UKN2356","7.249"
"UKN4829","UKN4828","1.114"
"UKN4973","UKN4829","7.354"
"UKN8198","UKN8248","1.58"
"UKN7989","UKN7992","6.44"
"UKN8248","UKN7989","0.686"
"UKN7993","UKN7994","1.627"
"UKN7605","UKN7428","1.197"
"UKN1212","UKN1414","2.669"
"UKN1414","UKN2004","4.448"
"UKN1002","UKN2832","2.479"
"UKN2841","UKN3195","3.204"
"UKN1433","UKN7301","1.265"
"UKN3195","UKN3263","3.783"
"UKN2752","UKN2530","2.441"
"UKN2531","UKN3270","3.044"
"UKN1435","UKN1462","0.854"
"UKN1462","UKN2391","4.163"
"UKN3264","UKN2794","1.66"
"UKN3263","UKN3264","3.776"
"UKN3270","UKN2752","1.874"
"UKN2832","UKN2531","3.269"
"UKN2391","UKN2841","1.601"
"UKN7301","UKN1435","0.653"
"UKN2794","UKN1002","5.431"
"UKN1443","UKN4341","0.216"
"UKN1443","UKN5138","0.166"
"UKN7333","UKN1443","0.874"
"UKN7309","UKN2094","0.362"
"UKN7322","UKN3517","0.404"
"UKN1799","UKN2390","2.287"
"UKN2791","UKN2876","1.573"
"UKN3244","UKN2791","3.771"
"UKN1926","UKN1145","1.063"
"UKN2739","UKN1926","1.666"
"UKN2409","UKN2373","1.286"
"UKN3517","UKN2109","1.433"
"UKN2390","UKN7322","4.233"
"UKN1001","UKN1799","0.92"
"UKN2876","UKN4933","0.118"
"UKN1409","UKN1001","1.014"
"UKN1145","UKN1339","2.108"
"UKN1435","UKN7309","3.411"
"UKN1339","UKN3244","1.768"
"UKN2109","UKN2739","2.776"
"UKN2373","UKN1409","4.342"
