"source","target","trackspeed"
"DE0HOTT","DE0HGOH","120.0"
"DE0EHFD","DE0HHIS","100.0"
"DE0HHIS","DE96562","100.0"
"DE0EBIO","DE0EBIL","60.0"
"DE0EELB","DE0EHEP","80.0"
"DE0EHEP","DE0EOER","80.0"
"DE0EHIG","DE0EOLT","80.0"
"DE0ELAG","DE0EELB","80.0"
"DE0EOER","DE0EUBD","80.0"
"DE0EOLT","DE0EBIO","80.0"
"DE0EUBD","DE0EHIG","80.0"
"DE000HL","DE96570","80.0"
"DE00KAH","DE0KAHM","70.0"
"DE00KRE","DE0KBOD","80.0"
"DE0KAHM","DE0KWAP","80.0"
"DE0KALT","DE0KKRZ","60.0"
"DE0KBOD","DE0KHEH","80.0"
"DE00KPL","DE0KKRF","90.0"
"DE00KTH","DE0KKOH","70.0"
"DE0KAND","DE0KMIE","100.0"
"DE0KKOH","DE0KMYO","70.0"
"DE0SGRG","DE96298","60.0"
"DE00SML","DE0SURM","60.0"
"DE0KKRF","DE0KNME","100.0"
"DE0KMIE","DE00KPL","100.0"
"DE0KMYW","DE00SML","60.0"
"DE0KNME","DE00KTH","70.0"
"DE0SKAI","DE0SKAG","60.0"
"DE0SURM","DE0SKAI","60.0"
"DE00KNE","DE0KURR","120.0"
"DE0KKES","DE0KKOL","140.0"
"DE0KKOL","DE96592","100.0"
"DE0KURR","DE0KKES","140.0"
"DE96592","DE0KKOM","100.0"
"DE00KBZ","DE0KBOP","50.0"
"DE0KBOP","DE0KBPS","40.0"
"DE0KEHR","DE0KFLH","50.0"
"DE0KEMM","DE0KEHR","50.0"
"DE0KFLH","DE00KBZ","50.0"
"DE00KAK","DE00KOE","60.0"
"DE00KOE","DE0KKLM","60.0"
"DE0KAKG","DE00KAK","50.0"
"DE0KGEH","DE00KAU","60.0"
"DE0KKLM","DE0KBRS","60.0"
"DE0KBRS","DE0KHOG","60.0"
"DE0KHOG","DE0KGEH","60.0"
"DE00SEG","DE96621","40.0"
"DE96621","DE0SBIW","60.0"
"DE96627","DE0SHBG","50.0"
"DE0SDLO","DE0SDHG","40.0"
"DE0SDLA","DE0SDZG","40.0"
"DE00SSB","DE96656","60.0"
"DE0SDUW","DESSR N","60.0"
"DE00SES","DE96752","120.0"
"DE00SKL","DE00SES","100.0"
"DE000RL","DE0RLSM","80.0"
"DE00RLI","DE0RLIA","160.0"
"DE00RSD","DE00RLI","160.0"
"DE0RBOA","DE00RSD","160.0"
"DE0RLIA","DE0RLUR","160.0"
"DE0RLSM","DE000RM","80.0"
"DE0RLUM","DE000RL","160.0"
"DE0RLUR","DE0RLUM","160.0"
"DE00RLO","DE00RRK","110.0"
"DE96784","DE00RLO","110.0"
"DE0FBRM","DE0FKIZ","160.0"
"DE0FKIZ","DE0FWWN","100.0"
"DE0FWWN","DE000FW","100.0"
"DE000FD","DE96902","60.0"
"DE000FD","DE96908","80.0"
"DE00FAT","DE0FHER","120.0"
"DE00FBA","DE0FSTK","160.0"
"DE00FDI","DE00FAT","120.0"
"DE00FDK","DE0FMES","120.0"
"DE00FDN","DE00FDK","100.0"
"DE0FHER","DE00FBA","120.0"
"DE0FMAA","DE0FMAS","120.0"
"DE0FMAS","DE00NAH","120.0"
"DE0FMES","DE00FDI","120.0"
"DE0FSTK","DE0FMAA","120.0"
"DE96908","DE00FDN","90.0"
"DE96697","DE00SSB","60.0"
"DE0EPDN","DE0EPNG",""
"DE0KKDZ","DE00KKD",""
"DE0KDEA","DE0KREC","70.0"
"DE0KHEH","DE0KNEB","80.0"
"DE0KKRZ","DE0KBRU","60.0"
"DE0KMAY","DE0KALT","70.0"
"DE0KNEB","DE00KAH","80.0"
"DE0KREC","DE0KMAY","70.0"
"DE0KWAP","DE0KDEA","80.0"
"DE00KLI","DE0KLIG","40.0"
"DE00STR","DE0STRS","60.0"
"DE96697","DE00SSH","40.0"
"DE00SKL","DE0SKLP","60.0"
"DE00SKW","DE0SHIH","60.0"
"DE00SOU","DE0SKRB","60.0"
"DE0SHIH","DE0SUSZ","60.0"
"DE0SHZH","DE0SLOH","60.0"
"DE0SKLP","DE0SKLW","60.0"
"DE0SKLW","DE0SLAO","80.0"
"DE0SKRB","DE0SROB","60.0"
"DE0SLAO","DE00SKW","60.0"
"DE0SLOH","DE0SLKG","60.0"
"DE0SROB","DE0SWFS","60.0"
"DE0SRWH","DE0SHZH","50.0"
"DE0SUSZ","DE00SOU","60.0"
"DE0SWFS","DE0SRWH","60.0"
"DE000RL","DERLBST","60.0"
"DERL  T","DE000RL","60.0"
"DE00RAM","DE0RBOK","80.0"
"DE00RGR","DE96789","80.0"
"DE00RKH","DE00RGR","80.0"
