"source","target","sectionspeed"
"SEKlbn","SEUågb","135.0"
"SEBud","SEHfs","135.0"
"SEKrb","SELdl","160.0"
"SEKsg","SEDk","110.0"
"SEHsö","SEDgm","140.0"
"SESän","SESvt","140.0"
"SEJnt","SEKtä","140.0"
"SESus","SEGst","140.0"
"SEHt","SEBds","140.0"
"SEThm","SEMhn","140.0"
"SEBtb","SEBrd","135.0"
"SEJrn","SESto","140.0"
"SEKln","SEVnt","110.0"
"SESvt","SESby","140.0"
"SEBsg","SEFgö","115.0"
"SEÅst","SEKaä","140.0"
"SEKtä","SENyf","140.0"
"SEThö","SENrs","130.0"
"SETvb","SETvä","140.0"
"SEBdn","SEBud","135.0"
"SEBdn","SESän","140.0"
"SEMsl","SEÖal","80.0"
"SEMsl","SEGe","130.0"
"SEStå","SELsl","40.0"
"SEVän","SETvb","140.0"
"SEEtk","SELuä","120.0"
"SEÖvö","SEKln","105.0"
"SEBaö","SEGnå","100.0"
"SESngå","SERu","90.0"
"SEGnå","SESom","100.0"
"SEYö","SEEtk","120.0"
"SEMhn","SELtk","140.0"
"SEVnt","SERob","110.0"
"SEGe","SEBjö","120.0"
"SESlj","SEBaö","90.0"
"SENyå","SEÖä","95.0"
"SENyf","SEAmk","90.0"
"SENyf","SEÄy","140.0"
"SENy","SEKsg","110.0"
"SENvn","SELe","140.0"
"SEÖså","SEFsm","100.0"
"SEFsm","SESlj","100.0"
"SESby","SESus","140.0"
"SENrs","SEBrs","130.0"
"SEAnö","SEMsl","130.0"
"SEAp","SEHoå","100.0"
"SEGa","SEHlm","120.0"
"SEOxm","SENyå","95.0"
"SEOxm","SEÖä","140.0"
"SEGrö","SENy","110.0"
"SEVns","SEBtb","130.0"
"SEVns","SEVän","140.0"
"SEGsn","SEÖvö","110.0"
"SEDgm","SEVns","120.0"
"SEUåö","SEGim","90.0"
"SERu","SEBsg","100.0"
"SELrg","SEBrg","140.0"
"SEUågb","SEUå","117.5"
"SEUå","SEUåö","90.0"
"SEDbn","SEHt","140.0"
"SELnv","SEThö","110.0"
"SELmn","SELnv","110.0"
"SEHbä","SEHsö","130.0"
"SESto","SEThm","140.0"
"SEBj","SELmn","125.0"
"SESts","SEJnt","140.0"
"SEÖä","SEHbä","160.0"
"SELsl","SEÖså","100.0"
"SEDk","SEGsn","110.0"
"SELtk","SESbi","140.0"
"SESop","SEKäv","100.0"
"SEFgö","SEGa","120.0"
"SEÄy","SELrg","140.0"
"SEBds","SEBdn","90.0"
"SESom","SEAp","100.0"
"SEGst","SENvn","140.0"
"SEVdn","SEHls","140.0"
"SESbi","SEKlr","140.0"
"SERob","SEHå","110.0"
"SELuä","SEÅst","135.0"
"SERsö","SENg","160.0"
"SEAb","SEVl","160.0"
"SEOsl","SEKfn","160.0"
"SERbo","SEKls","135.0"
"SEÖv","SEAy","160.0"
"SEOsö","SEÅg","140.0"
"SEOsö","SEÅgy","85.0"
"SERte","SELot","140.0"
"SEÅggb","SEÅgy","80.0"
"SEJb","SEMsn","120.0"
"SEÖbn","SERsö","135.0"
"SEJr","SESkä","150.0"
"SELot","SEAb","160.0"
"SELs","SETl","160.0"
"SEKsö","SELö","160.0"
"SELtr","SEHnn","160.0"
"SELö","SEJr","160.0"
"SEBn","SERte","140.0"
"SEMdl","SEDy","180.0"
"SEOb","SEMog","160.0"
"SESmå","SEKsö","140.0"
"SEAy","SEOsö","150.0"
"SESmo","SEOsl","160.0"
"SEMsn","SEOb","120.0"
"SEKfn","SEOb","160.0"
"SEMsö","SEJå","160.0"
"SESkä","SELs","160.0"
"SENg","SEMsö","160.0"
"SEJå","SEÖv","160.0"
"SEBsb","SEBä","180.0"
"SEMog","SEDöl","200.0"
"SETl","SELtr","150.0"
"SEKls","SEBn","160.0"
"SEHdn","SERbo","140.0"
"SEÅg","SEÅggb","40.0"
