"source","target","sectionspeed"
"NLVAMA","NLBL","140.0"
"NLMP","NLKG","140.0"
"NLAMLBP","NLAML","120.0"
"NLMRB","NLVHP","120.0"
"NLVHP","NLAMLBP","120.0"
"NLMT","EU00092","30.0"
"NLRM","NLSM","100.0"
"NLBK","NLLUTA","130.0"
"NLLUTA","NLSTD","130.0"
"NLMBT","NLRM","130.0"
"NLSTD","NLSRN","130.0"
"NLSM","NLRV","100.0"
"NLBDE","NLBK","130.0"
"NLMT","NLBDE","130.0"
"NLTG","NLVL","100.0"
"NLRV","NLTG","100.0"
"NLSRN","NLMBT","130.0"
"NLMVTW","NLMVTYZ","80.0"
"NLMVT","NLMVTW","80.0"
"NLMVTYZ","NLMVTYN","80.0"
"NLEEMIA","NLEEM","80.0"
"NLRD","NLEEMIA","80.0"
"NLASS","NLAEG","80.0"
"NLVNDC","NLHAR","100.0"
"NLRHN","NLVNDC","100.0"
"NLRSD","NLBD","130.0"
"NLBGN","NLRB","140.0"
"NLKRGE","NLBGN","140.0"
"NLLWD","NLMDB","140.0"
"NLHA","NLLWD","140.0"
"NLMDB","NLVS","140.0"
"NLRSD","NLKRGE","140.0"
"NLRB","NLKRG","140.0"
"NLGS","NLHA","140.0"
"NLKRG","NLGS","140.0"
"NLHFDGHT","NLHFD","300.0"
"NLGHT","NLHFDGHT","300.0"
"NLRTD","NLGHTRTD","300.0"
"NLGHTRTD","NLGHT","300.0"
"NLRTD","NLWSPL","73.33333333333333"
"NLAEG","NLASDL","130.0"
"NLSGRA","NLAEG","130.0"
"NLASDL","NLASRA","130.0"
"NLVDM","NLVDMA","100.0"
"NLVDMA","NLZB","100.0"
"NLSTD","NLBON","40.0"
"NLSTD","NLHRL","100.0"
"NLHRL","NLLG","80.0"
"NLLG","EU00006","80.0"
"NLBF","NLWFM","80.0"
"NLUST","NLUHM","80.0"
"NLWFM","NLUST","80.0"
"NLSWD","NLWSM","80.0"
"NLUHM","NLRD","80.0"
"NLWSM","NLBF","80.0"
"NLTBI","NLVGA","130.0"
"NLTB","NLTBI","130.0"
"NLRVS","NLWC","130.0"
"NLHT","NLOSS","140.0"
"NLOSS","NLRVS","130.0"
"NLVGA","NLHT","130.0"
"NLWC","NLNM","130.0"
"NLUT","NLHTN","140.0"
"NLUT","NLUTZA","140.0"
"NLOZBM","NLHDL","130.0"
"NLVGA","NLBTL","130.0"
"NLHTN","NLLEK","130.0"
"NLGDM","NLMTNA","130.0"
"NLMTNA","NLOZBM","130.0"
"NLLEK","NLGDM","130.0"
"NLHDL","NLHT","130.0"
"NLUTZA","NLHTN","140.0"
"NLUT","NLBKP","140.0"
"NLBLOA","NLBHV","140.0"
"NLNS","NLHDE","140.0"
"NLHD","NLNS","140.0"
"NLNKK","NLPT","140.0"
"NLDLD","NLAMF","140.0"
"NLBKP","NLBLOA","140.0"
"NLAMF","NLAVAT","140.0"
"NLAVAT","NLNKK","140.0"
"NLHDE","NLHTBA","140.0"
"NLBHV","NLDLD","140.0"
"NLPT","NLHD","140.0"
"NLUT","NLVTN","130.0"
"NLVTN","NLHMLA","140.0"
"NLWD","NLODW","130.0"
"NLNWKI","NLRTNG","140.0"
"NLGDG","NLGD","130.0"
