"source","target","sectionspeed"
"ES16008","ES16009","130.0"
"ES16009","ES16010","105.0"
"ES16005","ES16006","130.0"
"ES16010","ES16011","105.0"
"ES15208","ESB1601","85.0"
"ES16408","ES16401","85.0"
"ES15301","ES16301","85.0"
"ES16404","ES16406","140.0"
"ES16407","ES16404","140.0"
"ES16403","ES16407","140.0"
"ES16402","ES16403","135.0"
"ES16401","ES16402","85.0"
"ES16301","ES16302","85.0"
"ES16400","ES16408","85.0"
"ES16302","ES16400","85.0"
"ES16002","ESB1611","100.0"
"ESB1611","ES16101","100.0"
"ES16101","ES15300","100.0"
"ES14100","ES14101","155.0"
"ES14115","ES14200","130.0"
"ES14113","ES14114","130.0"
"ES14112","ES14113","130.0"
"ES14111","ES14112","140.0"
"ES14111","ES14109","155.0"
"ES14201","ES14227","95.0"
"ES14114","ES14115","130.0"
"ES14101","ES14117","155.0"
"ES14117","ES14102","155.0"
"ES14107","ES14108","155.0"
"ES14108","ES14109","155.0"
"ES14227","ES14202","105.0"
"ES14105","ES14106","160.0"
"ES14200","ES14201","130.0"
"ES14104","ES14105","155.0"
"ES14106","ES14107","155.0"
"ES14102","ES14103","155.0"
"ES14103","ES14104","155.0"
"ES14202","ES14233","105.0"
"ES14204","ES14205","95.0"
"ES14205","ES14234","75.0"
"ES14203","ES14204","90.0"
"ES14206","ES14207","155.0"
"ES14208","ES14235","155.0"
"ES14207","ES14208","155.0"
"ES14209","ES14210","120.0"
"ES14210","ES14232","120.0"
"ES14211","ES14212","125.0"
"ES14212","ES14213","125.0"
"ES14213","ES14214","125.0"
"ES14214","ES14215","105.0"
"ES14215","ES14236","105.0"
"ES14216","ES14217","125.0"
"ES14219","ES14220","140.0"
"ES14237","ES14221","140.0"
"ES14220","ES14237","140.0"
"ES14236","ES14216","105.0"
"ES14235","ES14209","135.0"
"ES14234","ES14228","95.0"
"ES14233","ES14203","90.0"
"ES14231","ES14230","160.0"
"ES14232","ES14211","120.0"
"ES14218","ES14219","130.0"
"ES14228","ES14206","95.0"
"ES14221","ES14231","160.0"
"ES14230","ES14223","160.0"
"ES14217","ES14218","130.0"
"ESB1401","ES11004","140.0"
"ESB1112","ES11102","155.0"
"ESB7181","ESB7183","60.0"
"ES98100","ESB9811","90.0"
"ESB9811","ES70101","95.0"
"ES98001","ES98100","120.0"
"ES17000","ES98003","85.0"
"ES98003","ES98001","76.25"
"ES70208","ES70209","150.0"
"ES70209","ES70210","132.5"
"ES70210","ES70300","152.5"
"ES70400","ES70302","160.0"
"ES70400","ES70401","142.5"
"ES70401","ES70403","137.5"
"ES70403","ES70404","155.0"
"ES70300","ES70302","120.0"
"ES70207","ES70208","160.0"
"ES70105","ES70113","157.5"
"ES70203","ES70204","160.0"
"ES70101","ES70102","135.0"
"ES70103","ES70107","160.0"
"ES70104","ES70105","160.0"
"ES70404","ES70405","160.0"
"ES70107","ES70104","160.0"
"ES70111","ES70103","160.0"
"ES70113","ES70200","157.5"
"ES70202","ES70203","160.0"
"ES70204","ES70207","145.0"
"ES70405","ES70500","160.0"
"ES70504","ES70505","155.0"
"ES70501","ES70502","155.0"
"ES70800","ES70706","160.0"
"ES70800","ES70801","160.0"
"ES70801","ES70802","157.5"
"ES70802","ES70803","157.5"
"ES70803","ESA7080","157.5"
"ES70705","ESA7070","160.0"
"ES70112","ES70111","160.0"
"ES04040","ES70806","90.0"
"ESA7070","ES70706","160.0"
"ESA7080","ES04040","157.5"
"ES70807","ES70806","80.0"
"ES70807","ES71100","80.0"
"ES70704","ES70705","160.0"
"ES70703","ES70704","160.0"
"ES70702","ES70703","160.0"
"ES70502","ES70503","147.5"
"ES70503","ES70504","110.0"
"ES70505","ES70600","155.0"
"ES70601","ES70602","135.0"
"ES70602","ES70603","100.0"
"ES70603","ES70604","70.0"
"ES70604","ES70605","120.0"
"ES70605","ES70606","120.0"
"ES70606","ES70608","120.0"
"ES70607","ES70700","115.0"
"ES70608","ES70607","120.0"
"ES70700","ES70701","137.5"
"ES70701","ES70702","160.0"
"ES70500","ES70501","157.5"
"ES70600","ES70601","155.0"
"ES70200","ES70202","160.0"
"ES78004","ES78005","160.0"
"ES78200","ES78201","60.0"
"ES78201","ES78202","60.0"
"ES78202","ES78203","60.0"
"ES78203","ES78204","60.0"
"ES78204","ES78300","60.0"
"ES78300","ES78301","60.0"
"ES78301","ES78302","60.0"
"ES78302","ES78303","60.0"
"ES78303","ES78304","60.0"
"ES78304","ES78305","60.0"
"ES78305","ES99501","60.0"
"ES78005","ES78100","100.0"
"ES99501","ES78400","60.0"
"ES78100","ES78102","60.0"
"ES78102","ES78200","140.0"
"ES73022","ES73006","130.0"
"ES73001","ES73002","160.0"
"ES73001","ES78400","160.0"
"ES73002","ES73003","155.0"
"ES73003","ES73004","155.0"
"ES73004","ES73021","155.0"
"ES73005","ES73022","130.0"
"ES73021","ES73005","125.0"
"ES73006","ES73007","130.0"
"ES73008","ES73009","130.0"
"ES73009","ES73010","135.0"
"ES73010","ES73100","70.0"
"ES73007","ES73008","135.0"
"ES76001","ES72100","140.0"
"ES76002","ES76001","155.0"
"ES76004","ES76003","160.0"
"ES76003","ES76002","160.0"
"ES73100","ES76004","160.0"
"ES71701","ES71703","140.0"
"ES71708","ESB7173","92.5"
"ES71703","ES71704","145.0"
"ES72101","ES71600","160.0"
"ES72100","ES72101","145.0"
"ES71600","ES71601","160.0"
"ES71707","ESB7171","125.0"
"ESB7173","ES71801","92.5"
"ES71709","ES71707","160.0"
"ES71700","ES71701","160.0"
"ES71604","ES71700","160.0"
"ES71705","ES71706","160.0"
"ES71601","ES71602","160.0"
"ES71603","ES71604","160.0"
"ES71602","ES71603","160.0"
"ESB7171","ES71708","107.5"
"ES71706","ES71709","160.0"
"ES71704","ES71705","160.0"
"ES71801","ES71802","60.0"
"ES71802","ESB7181","70.0"
"ES70102","ES70112","160.0"
"ES71801","ESB7181","60.0"
"ES71100","ESA7890","60.0"
"ES78902","ES78007","160.0"
"ES78007","ES78004","160.0"
"ESA7890","ES78902","160.0"
"ES84101","ES84103","90.0"
"ES84104","ES82100","120.0"
"ES84003","ES84100","110.0"
"ES84103","ES84104","105.0"
"ES84100","ES84101","110.0"
"ES70400","ES84003","115.0"
"ES78400","ESA7510","60.0"
"ES71100","ESA7111","110.0"
"ES71206","ES71207","105.0"
"ES71101","ESA7110","110.0"
"ES71207","ES71208","120.0"
"ES71202","ES71203","125.0"
"ES71203","ES71204","115.0"
"ES71102","ES71121","125.0"
"ES71200","ES71201","120.0"
"ES71201","ES71202","125.0"
"ES71108","ES71109","130.0"
"ES71108","ES71105","105.0"
"ES71307","ES71400","130.0"
"ES71208","ES71209","120.0"
"ES71301","ES71302","90.0"
"ES71300","ES71301","100.0"
"ES71302","ES71303","90.0"
"ES71109","ES71200","140.0"
"ES71121","ES71103","125.0"
"ES71211","ES71300","100.0"
"ES71210","ES71211","100.0"
"ES71105","ES71103","125.0"
"ES71303","ES71304","100.0"
"ES71304","ES71305","115.0"
"ES71306","ES71307","110.0"
"ES71209","ES71210","105.0"
"ES71305","ES71306","115.0"
"ES71205","ES71206","105.0"
"ES71204","ES71205","100.0"
"ESA7110","ES71102","125.0"
"ESA7111","ES71101","110.0"
"ES71401","ESA7141","135.0"
"ES71400","ESB7510","92.5"
"ESB7510","ES71401","125.0"
"ESA7141","ES71500","135.0"
"ES71502","ES71503","160.0"
"ES71500","ES71502","160.0"
"ES71503","ES71600","160.0"
"ESB7082","ESA7086","80.0"
"ESA7081","ESB7082","160.0"
"ES70803","ESA7081","30.0"
"ESA7086","ESB7081","160.0"
"ES78405","ES78406","140.0"
"ES78407","ES78408","140.0"
"ES78406","ES78407","140.0"
"ES78501","ES78502","155.0"
"ES78506","ES78600","80.0"
"ES78505","ES78506","100.0"
"ES78504","ES78505","100.0"
"ES78503","ES78504","105.0"
"ES78502","ES78503","155.0"
"ES78404","ES78405","140.0"
"ES78403","ES78404","140.0"
"ES78402","ES78403","140.0"
"ES78402","ES78400","140.0"
"ES78500","ES78501","155.0"
"ES78408","ES78500","130.0"
"ES78604","ES78605","85.0"
"ES78705","ES78706","140.0"
"ES78707","ES78708","95.0"
"ES78708","ES78800","85.0"
"ES78709","ES78704","125.0"
"ES78710","ES78709","140.0"
"ES78800","ES78801","95.0"
"ES78801","ES78802","100.0"
"ES78802","ES78806","67.5"
"ES78806","ESB8801","67.5"
"ES78704","ES78703","125.0"
"ES78703","ES78705","140.0"
"ES78706","ES78707","140.0"
"ES78607","ES78609","100.0"
"ES78700","ES78710","140.0"
"ES78605","ES78606","100.0"
"ES78610","ES78700","122.5"
"ES78600","ES78604","80.0"
"ES78609","ES78610","95.0"
"ES78606","ES78607","100.0"
"ESA7701","ES77006","140.0"
"ES78800","ES77002","90.0"
"ES77106","ES77107","110.0"
"ES77100","ES77102","130.0"
"ES77105","ES77106","110.0"
"ES77002","ES77003","130.0"
"ES77103","ES77104","105.0"
"ES77104","ES77105","110.0"
"ES77003","ES77004","135.0"
"ES77006","ES77100","140.0"
"ES77102","ES77103","105.0"
"ES77005","ESA7701","140.0"
"ES77107","ES77109","130.0"
"ES77004","ES77005","135.0"
"ES77109","ES77110","125.0"
"ES77112","ES77113","85.0"
"ES77111","ES77112","85.0"
"ES77110","ES77111","105.0"
"ES77113","ES77114","90.0"
"ES77114","ES77200","80.0"
"ES77306","ES77307","65.0"
"ES77303","ES77304","65.0"
"ES77301","ES77303","75.0"
"ES77304","ES77305","65.0"
"ES77200","ES77301","80.0"
"ES77307","ES77309","80.0"
"ES77305","ES77306","100.0"
"ES72503","ES78706","140.0"
"ES72006","ES72001","120.0"
"ES71400","ES72006","100.0"
"ES72001","ESA7203","120.0"
"ES71901","ES71902","30.0"
"ESA7229","ES71908","110.0"
"ESA7190","ESA7229","45.0"
"ES71908","ESB7193","160.0"
"ESB7193","ES71901","160.0"
"ESA7225","ESA7226","140.0"
"ES72203","ES72204","100.0"
"ESA7220","ESA7229","110.0"
"ESA7226","ES72209","140.0"
"ES72302","ES72303","130.0"
"ESA7229","ESA7221","115.0"
"ES72301","ES72302","130.0"
"ES72209","ES72210","127.5"
"ES72207","ES72208","130.0"
"ES72208","ESA7225","140.0"
"ESA7221","ES72211","115.0"
"ES72303","ES72305","115.0"
"ES72210","ESA7220","120.0"
"ES72206","ES72207","125.0"
"ES72202","ES72203","100.0"
"ES72201","ES72202","140.0"
"ES72204","ES72205","100.0"
"ES72205","ES72206","100.0"
"ES71600","ES72201","140.0"
"ES72300","ES72301","130.0"
"ES72211","ES72300","120.0"
"ES72503","ES72506","120.0"
"ES72506","ES72507","120.0"
"ES72502","ES72505","120.0"
"ES72501","ES72502","120.0"
"ESA7190","ES72504","120.0"
"ES72505","ES72503","120.0"
"ES72504","ES72501","120.0"
"ESA7220","ESA7190","120.0"
"ES72503","ESB7193","120.0"
"ESB7193","ES72506","120.0"
"ES72507","ES79006","105.0"
"ES72400","ES71707","140.0"
"ESB7900","ES79004","70.0"
"ES79103","ES79104","160.0"
"ES79105","ES79106","160.0"
"ES79102","ES79103","160.0"
"ES79104","ES79105","160.0"
"ES79101","ES79102","160.0"
"ES79006","ES79007","160.0"
"ES79011","ES79006","140.0"
"ES79008","ES79108","160.0"
"ES79106","ES79107","160.0"
"ES79005","ES79011","140.0"
"ES79004","ESB7901","90.0"
"ES79107","ES79200","155.0"
"ES79203","ES79204","160.0"
"ES79109","ES79101","155.0"
"ES79315","EU00120","40.0"
"ES79314","ES79315","130.0"
"ES79312","ES79314","130.0"
"ES79311","ES79312","125.0"
"ES79308","ES79309","140.0"
"ES79306","ES79308","140.0"
"ES79305","ES79320","140.0"
"ES79304","ES79305","140.0"
"ES79303","ES79304","140.0"
"ES79302","ES79303","140.0"
"ES79301","ES79319","140.0"
"ES79300","ES79301","125.0"
"ES79206","ES79300","140.0"
"ES79205","ES79206","140.0"
"ES79204","ES79205","160.0"
"ES79202","ES79203","140.0"
"ES79200","ES79202","140.0"
"ES79108","ES79100","157.5"
"ES79309","ES79311","140.0"
"ESB7901","ES79005","140.0"
"ES79319","ES79302","140.0"
"ES79320","ES79306","140.0"
"ES79007","ES79008","160.0"
"ES79100","ES79109","155.0"
"ES78805","ES71801","70.0"
"ESB8801","ES78804","50.0"
"ES72305","ES71801","82.5"
"ES79002","ESB7943","70.0"
"ESB7900","ES79002","60.0"
"ES79408","ES79409","140.0"
"ES79406","ES79407","140.0"
"ES79409","ES79410","140.0"
"ES79405","ES79406","140.0"
"ESB7943","ES79403","72.5"
"ES79404","ES79405","140.0"
"ES79403","ES79404","140.0"
"ES79412","ES79500","140.0"
"ES79407","ES79408","140.0"
"ES79410","ES79412","140.0"
"ES79502","ES79600","140.0"
"ES79501","ES79502","140.0"
"ES79500","ES79501","140.0"
"ESA7111","ESA7890","50.0"
"ES18002","ES17000","81.25"
"ES18102","ES18002","85.0"
"ES18102","ES18101","80.0"
"ES18101","ES18000","80.0"
"ES60701","ESB6100","160.0"
"ES60701","ESA6060","160.0"
"ES60001","ES60100","132.5"
"ES60101","ES60109","160.0"
"ES60104","ES60105","160.0"
"ES60103","ES60104","160.0"
"ES60102","ES60103","160.0"
"ES60100","ES60107","160.0"
"ES60105","ES60106","160.0"
"ES60404","ES60406","180.0"
"ES60207","ES60300","160.0"
"ES60300","ES60301","160.0"
"ES60301","ESA6031","160.0"
"ES60203","ES60204","160.0"
"ES60602","ES60600","160.0"
"ES60202","ES60203","160.0"
"ES60109","ES60102","160.0"
"ES60107","ES60101","160.0"
"ES60106","ES60200","160.0"
"ES60402","ESB6040","180.0"
"ES60705","ES60800","160.0"
"ES60206","ES60207","160.0"
"ES60503","ES60505","160.0"
"ES60507","ES60602","180.0"
"ES60500","ES60503","160.0"
"ES60706","ES60705","160.0"
"ESB6040","ES60404","180.0"
"ESB6100","ES60706","160.0"
"ES60406","ES60500","200.0"
"ES60600","ESA6060","160.0"
"ES60800","ES60900","160.0"
"ESB6002","ES60001","125.0"
"ESB6002","ES18000","135.0"
"ES60505","ES60507","180.0"
"ESB6401","ESB6402","220.0"
"ES64100","ES64007","160.0"
"ESB6091","ES64001","220.0"
"ES64001","ES64003","220.0"
"ESA6420","ES65000","130.0"
"ES64007","ES64102","160.0"
"ES64102","ES64103","160.0"
"ESB6402","ES64100","220.0"
"ES64200","ES64201","160.0"
"ES64201","ES64202","150.0"
"ES64202","ES64203","147.5"
"ES64203","ESA6420","160.0"
"ES60900","ESB6091","160.0"
"ES64107","ES64200","160.0"
"ES64003","ESB6401","220.0"
"ES64104","ES64105","157.5"
"ES64103","ES64104","157.5"
"ES64105","ES64107","157.5"
"ESA6031","ES60400","160.0"
"ES60206","ES60204","160.0"
"ES60400","ES60402","160.0"
"ES60100","ES60101","140.0"
"ES64203","ES65002","80.0"
"ES66009","ES66010","110.0"
"ES66010","ES66011","110.0"
"ES66006","ES66008","120.0"
"ES66011","ES66012","110.0"
"ES66005","ES66017","120.0"
"ES66008","ES66009","110.0"
"ES66012","ES66013","110.0"
"ES66015","ES66016","110.0"
"ES66014","ES66015","110.0"
"ES66105","ES66108","110.0"
"ES66102","ES66103","110.0"
"ES66016","ES66100","110.0"
"ES66004","ES66005","120.0"
"ES66017","ES66006","120.0"
"ES66018","ES66004","120.0"
"ES66100","ES66102","110.0"
"ES66013","ES66014","110.0"
"ES66003","ES66018","120.0"
"ES66112","ES66113","110.0"
"ES66001","ES66002","120.0"
"ES60200","ES66001","120.0"
"ES66002","ES66003","120.0"
"ES66113","ES66200","110.0"
"ES66104","ES66105","110.0"
"ES66110","ES66112","110.0"
"ES66109","ES66110","110.0"
"ES66108","ES66109","110.0"
"ES66103","ES66104","110.0"
"ES66207","ES66208","120.0"
"ES66210","ES66209","140.0"
"ES66211","ES66214","120.0"
"ES66212","ES65002","85.0"
"ES66214","ES66212","120.0"
"ES66208","ES66210","140.0"
"ES66205","ES66206","80.0"
"ES66203","ES66204","120.0"
"ES66202","ES66203","120.0"
"ES66201","ES66202","120.0"
"ES66200","ES66201","120.0"
"ES66206","ES66207","125.0"
"ES66204","ES66205","95.0"
"ES66209","ES66211","140.0"
"ES61012","ES61013","160.0"
"ES61007","ESC6105","160.0"
"ES61004","ES61005","140.0"
"ES61013","ES61015","160.0"
"ES61003","ES61004","140.0"
"ESB6100","ES61001","155.0"
"ES61015","ES61017","160.0"
"ES61005","ES61007","145.0"
"ESC6105","ES61012","160.0"
"ES61101","ES61200","147.5"
"ES61101","ES61017","155.0"
"ES61001","ES61003","155.0"
"ES61101","ES06008","140.0"
"ES06008","ES06001","140.0"
"ES06001","ES06002","140.0"
"ES06005","ES06006","140.0"
"ES06002","ES06003","140.0"
"ES06004","ES06005","140.0"
"ES06003","ES06004","140.0"
"ES06007","ES06100","140.0"
"ES07003","ES07007","100.0"
"ES07001","ES07003","140.0"
"ES06100","ES07001","140.0"
"ES07007","ES07004","80.0"
"ES60907","ES60908","160.0"
"ES60913","ES60914","120.0"
"ESA6090","ESB6406","120.0"
"ES60901","ES60902","160.0"
"ESB6406","ES60911","120.0"
"ES60914","ESA6090","120.0"
"ES60900","ES60901","130.0"
"ES60904","ES60905","160.0"
"ES60902","ES60904","160.0"
"ES60906","ES60907","130.0"
"ES60908","ES60909","160.0"
"ES60909","ES60910","160.0"
"ES60910","ES60913","160.0"
"ES60905","ES60906","130.0"
"ESA6210","ES62109","120.0"
"ES61210","ES62001","160.0"
"ES62002","ES62003","160.0"
"ES62001","ES62002","160.0"
