"source","target","sectionlength"
"FR0000000786","FR0000001434","0.997"
"FR9900004445","FR0000005681","9.666"
"FR0000000678","FR0000000786","0.339"
"FR0000002663","FR0000000520","2.017"
"FR0000003924","FR0000005389","2.107"
"FR0000001193","FR0000005572","0.7"
"FR0000003358","FR0000001103","1.125"
"FR0000015844","FR0000008329","12.398"
"FR0000007679","FR0000003358","0.834"
"FR0000009230","FR9900004445","0.874"
"FR9900000071","FR0000000678","3.274"
"FR0000001103","FR0000002663","1.11"
"FR0000008329","FR0000008875","0.102"
"FR0000004529","FR9900000747","0.554"
"FR0000009671","FR0000006749","0.0"
"FR0000009671","FR0000002611","2.413"
"FR0000004092","FR0000004307","2.656"
"FR0000001112","FR0000005466","1.424"
"FR0000001337","FR0000004092","1.202"
"FR9900000025","FR0000001112","0.016"
"FR0000002754","FR0000007679","0.914"
"FR0000002403","FR9900003974","0.369"
"FR0000007114","FR0000002754","0.906"
"FR9900000747","FR0000004815","5.287"
"FR0000002611","FR0000001337","2.179"
"FR0000004307","FR0000003924","4.327"
"FR0000002592","FR0000009671","0.689"
"FR0000008588","FR9900001319","13.708"
"FR0000008500","FR9900000147","0.281"
"FR0000008500","FR9900000071","0.0"
"FR0000000520","FR0000002592","0.251"
"FR0000006615","FR9900000025","0.835"
"FR0000005466","FR9900000147","0.0"
"FR0000005466","FR0000008500","0.016"
"FR0000008875","FR0000004529","0.371"
"FR0000008875","FR9900000747","0.0"
"FR9900000689","FR0000006615","0.095"
"FR0000001756","FR0000001598","0.234"
"FR0000022868","FR9900001140","0.02"
"FR0000001756","FR0000022868","0.098"
"FR0000002165","FR0000000364","1.136"
"FR0000000426","FR0000002165","0.374"
"FR0000000286","FR0000000908","1.12"
"FR9900003817","FR9900002763","0.48"
"FR0000001337","FR0000022913","0.202"
"FR0000022913","FR0000008899","0.438"
"FR0000008899","FR9900003817","0.4"
"FR0000008899","FR9900002763","0.0"
"FR0000014785","FR0000006268","0.1"
"FR0000004933","FR0000009408","1.416"
"FR9900001890","FR0000008896","0.1"
"FR0000009259","FR0000006291","0.248"
"FR0000008686","FR0000009259","0.154"
"FR0000006843","FR0000008686","0.075"
"FR0000001135","FR0000004933","2.363"
"FR0000002255","FR0000003008","5.242"
"FR0000009802","FR9900001890","0.03"
"FR0000006291","FR0000006388","0.003"
"FR0000003681","FR9900001102","0.521"
"FR0000008896","FR0000014785","0.4"
"FR0000009263","FR0000002581","3.891"
"FR0000010728","FR0000003681","0.151"
"FR0000002581","FR0000006843","0.317"
"FR0000003008","FR0000002470","3.364"
"FR0000005749","FR0000009263","1.847"
"FR0000006268","FR9900001764","15.621"
"FR0000006388","FR0000002255","6.08"
"FR0000009408","FR0000005525","0.58"
"FR0000005901","FR0000010728","0.525"
"FR0000002470","FR0000004155","4.036"
"FR0000005525","FR0000000165","0.08"
"FR0000000165","FR0000005749","0.47"
"FR0000004155","FR0000005901","2.378"
"FR0000005650","FR0000010380","0.0"
"FR9900002014","FR0000010717","0.125"
"FR0000002963","FR0000005823","1.628"
"FR0000010717","FR0000009113","5.514"
"FR0000000299","FR0000010380","0.24"
"FR0000010380","FR0000002963","1.5"
"FR0000009635","FR0000006803","0.186"
"FR0000005894","FR9900002014","0.425"
"FR0000005894","FR0000010717","0.0"
"FR0000004187","FR0000005894","7.134"
"FR0000005823","FR0000010622","0.775"
"FR0000010583","FR9900001037","0.4"
"FR0000005796","FR0000010583","0.35"
"FR9900001840","FR0000005796","0.092"
"FR0000010622","FR0000002814","0.787"
"FR0000002814","FR0000009635","1.061"
"FR0000015080","FR9900001840","2.253"
"FR0000009113","FR0000015080","0.411"
"FR0000006803","FR0000004187","0.459"
"FR0000014147","FR0000005340","0.108"
"FR0000001067","FR9900001588","0.87"
"FR0000005340","FR9900001021","0.025"
"FR0000008414","FR0000014147","0.567"
"FR9900001588","FR0000008414","16.435"
"FR0000001439","FR0000000059","1.268"
"FR0000001715","FR0000000916","55.18"
"FR0000000903","FR0000000551","1.64"
"FR0000000461","FR0000001715","7.66"
"FR0000001981","FR0000004469","74.909"
"FR0000003094","FR0000000877","54.547"
"FR0000000059","FR0000001981","26.115"
"FR0000002653","FR0000000461","17.521"
"FR0000004469","FR0000001527","0.931"
"FR0000000877","FR0000000535","0.052"
"FR0000000551","FR0000003094","67.352"
"FR0000000535","FR0000002653","13.153"
"FR0000000385","FR0000001439","11.475"
"FR0000000916","FR0000001816","44.33"
"FR0000001527","FR0000000903","29.882"
"FR0000008459","FR0000007683","0.0"
"FR0000008459","FR0000001904","0.465"
"FR0000000224","FR9900003529","0.67"
"FR0000006216","FR0000008459","0.015"
"FR9900003529","FR0000006216","0.29"
"FR0000001527","FR0000000983","0.528"
"FR0000000983","FR0000000757","3.042"
"FR0000000983","FR0000004469","1.536"
"FR0000000903","FR0000000449","1.992"
"FR0000000551","FR0000009030","1.043"
"FR0000009030","FR0000000579","0.199"
"FR0000000877","FR0000001423","1.183"
"FR0000001423","FR0000001522","2.448"
"FR0000000535","FR0000000141","3.319"
"FR0000001423","FR0000000535","0.001"
"FR0000000461","FR0000000592","2.659"
"FR0000000592","FR0000001361","2.537"
"FR0000000592","FR0000001098","4.496"
"FR0000016102","FR0000001816","0.2"
"FR0000001816","FR0000003512","1.147"
"FR0000003512","FR0000000719","1.37"
"FR0000005886","FR0000010708","0.49"
"FR9900003504","FR0000005886","0.072"
"FR0000010708","FR0000001724","1.737"
"FR0000011411","FR0000008420","0.256"
"FR0000005602","FR0000006664","0.118"
"FR9900001894","FR0000006141","0.332"
"FR9900001896","FR0000011759","0.238"
"FR0000008420","FR0000005261","14.125"
"FR0000006415","FR0000011411","0.0"
"FR0000006415","FR9900001247","0.265"
"FR0000011759","FR9900001893","9.293"
"FR0000006123","FR0000006999","0.685"
"FR0000005261","FR9900001897","2.744"
"FR0000006664","FR0000011759","0.0"
"FR0000006664","FR0000006317","0.235"
"FR0000006317","FR9900001896","0.051"
"FR0000006999","FR0000005602","4.545"
"FR0000000619","FR0000007524","0.067"
"FR9900004314","FR9900001183","0.022"
"FR9900001183","FR0000001112","0.02"
"FR0000007524","FR0000006123","0.145"
"FR0000005668","FR0000006698","0.063"
"FR0000001240","FR9900001894","1.228"
"FR9900001247","FR0000008791","0.308"
"FR0000007851","FR9900001895","0.125"
"FR0000007851","FR0000013395","0.0"
"FR9900001895","FR0000013395","0.493"
"FR0000006698","FR9900001063","0.531"
"FR9900001893","FR0000005273","2.24"
"FR0000013395","FR0000007163","0.071"
"FR0000008791","FR0000011411","0.14"
"FR0000007163","FR0000006415","19.027"
"FR0000006141","FR0000007851","7.066"
"FR9900001897","FR0000005668","3.823"
"FR0000005717","FR0000001240","5.504"
"FR0000001724","FR0000000619","0.883"
"FR0000005273","FR0000005717","0.625"
"FR0000001904","FR0000007488","0.258"
"FR0000006926","FR9900003596","0.201"
"FR0000007488","FR0000006926","0.105"
"FR0000005840","FR0000010647","0.648"
"FR0000010647","FR9900003756","0.067"
"FR9900001415","FR0000005840","0.1"
"FR0000005745","FR9900001415","0.082"
"FR0000001081","FR0000005745","0.094"
"FR0000013024","FR0000008025","3.888"
"FR0000010882","FR0000008809","10.823"
"FR0000007597","FR0000013024","0.0"
"FR0000007597","FR9900003579","0.503"
"FR0000009191","FR0000006021","0.97"
"FR0000006021","FR0000010882","1.2"
"FR9900003579","FR0000013024","0.416"
"FR9900001898","FR0000009191","0.698"
"FR0000008117","FR9900001764","0.369"
"FR0000008025","FR9900001415","6.067"
"FR0000008809","FR0000008540","0.407"
"FR0000008540","FR0000008117","0.26"
"FR0000008408","FR0000006355","0.79"
"FR0000001081","FR9900001898","5.389"
"FR0000011328","FR0000007597","20.127"
"FR0000006355","FR0000011328","0.0"
"FR0000006355","FR0000007946","0.54"
"FR0000007946","FR0000011328","0.04"
"FR0000001341","FR0000001571","0.711"
"FR0000001571","FR0000008408","0.519"
"FR9900001415","FR0000001081","0.176"
"FR0000015067","FR0000002034","30.45"
"FR0000000786","FR0000001057","0.76"
"FR0000001057","FR0000009102","5.443"
"FR0000009102","FR0000015067","0.64"
"FR0000006463","FR0000011482","0.62"
"FR0000000006","FR9900001899","7.687"
"FR0000011482","FR0000007116","14.779"
"FR0000007278","FR0000002071","0.117"
"FR0000007116","FR0000007278","0.018"
"FR0000014013","FR0000006463","7.05"
"FR9900001899","FR0000008317","2.348"
"FR0000008317","FR0000014013","0.29"
"FR9900003245","FR9900003508","4.041"
"FR0000001564","FR9900003245","76.72"
"FR9900002160","FR9900003246","48.441"
"FR0000001452","FR9900002160","3.105"
"FR0000000610","FR0000001564","4.84"
"FR9900003246","FR0000000610","0.329"
"FR0000000610","FR0000001036","2.891"
"FR9900003508","FR0000001342","3.06"
"FR9900003560","FR0000010543","0.378"
"FR0000005766","FR0000007664","0.095"
"FR0000005766","FR0000010543","0.0"
"FR0000007664","FR9900003560","0.46"
"FR0000010543","FR0000009325","0.173"
"FR0000009325","FR0000015359","1.315"
"FR0000015359","FR0000007186","1.377"
"FR0000007186","FR0000000006","3.348"
"FR0000002034","FR0000005766","0.255"
"FR0000001480","FR9900003758","0.18"
"FR0000022991","FR0000000142","0.517"
"FR0000000076","FR0000022991","1.189"
"FR0000009759","FR0000007351","0.285"
"FR0000000142","FR9900003792","2.163"
"FR0000000131","FR0000000076","0.013"
"FR0000008932","FR0000022991","0.0"
"FR0000004304","FR0000000456","0.029"
"FR0000007351","FR0000004304","1.183"
"FR0000001798","FR0000006758","0.098"
"FR0000001609","FR0000007864","0.655"
"FR0000006758","FR0000014021","0.075"
"FR0000001480","FR0000008575","1.88"
"FR0000014021","FR0000000495","8.689"
"FR0000004304","FR0000014085","0.231"
