TRACK_NUM;DIRECTION;KM_I;KM_L;DESCRIPTION;UNIT_KIND;SHORTCUT;GK_R_DGN;GK_H_DGN;LAT;LONG
1100;0;108210054;82,1 + 54;Burg (Fehmarn) West;St;ABUW;3641523,955;6037790,994;54,45033292;11,18080135
1100;0;108850088;88,5 + 88;Puttgarden;St;APU;3644371,187;6043510,105;54,50087278;11,22745176
1103;0;100790080;7,9 + 80;Burg (Fehmarn) DB-Grenze;Bp;ABUG;3641878,421;6037437,262;54,4470587;11,18609275
1110;0;101150042;11,5 + 42;Poenitz (Holst);St;APN;3609525,454;5991947,487;54,04654706;10,67100035
1110;0;101920051;19,2 + 51;Pansdorf;St;APF;3611800,389;5984698,502;53,98096098;10,70305438
1110;0;102650005;26,5 + 5;Bad Schwartau Swch;Swch;ASCA;3612183,856;5977882,383;53,91966619;10,70639545
1113;0;100460099;4,6 + 99;Schwartau Waldhalle;Swch;AWR;3611299,712;5976385,685;53,90641539;10,69240067
1113;0;100820004;8,2 + 4;Luebeck-Daenischburg;St;ALD;3614260,529;5977010,025;53,91137891;10,73766326
1113;0;101250048;12,5 + 48;Luebeck-Kuecknitz;Swch;ALKN;3618484,529;5977762,942;53,91719298;10,80220098
1113;0;101390001;13,9 + 1;Luebeck-Kuecknitz Roter Hahn;Sp;ALKR;3619505,627;5978603,432;53,92450637;10,81806171
1113;0;101790005;17,9 + 5;Luebeck-Travemuende Skandinavienkai;Sp;ALTK;3621780,652;5981610,58;53,95098073;10,85387144
1113;0;101960034;19,6 + 34;Luebeck-Travemuende Hafen;Sp;ALTH;3622586,892;5982512,178;53,95888669;10,86650703
1113;0;102060019;20,6 + 19;Luebeck-Travemuende Strand;Sp;ALTS;3623193,911;5983215,31;53,96505655;10,87603335
1115;0;99999926;-0,0 + -73;Luebeck-Daenischburg;St;ALD;3614259,685;5977009,458;53,911374;10,73765021
1120;0;100000000;0,0 + 0;Luebeck Main Station;St;AL;3609922,42;5972017,151;53,86747631;10,66988858
1120;0;100240088;2,4 + 88;Luebeck Hgbf Swch;Stp Swch;ALRA;3609024,624;5970065,37;53,85013677;10,65555431
1120;0;100750011;7,5 + 11;Luebeck-Niendorf;St o.S.;ALN;3606233,975;5968328,085;53,83511158;10,61256729
1120;0;101580033;15,8 + 33;Reinfeld (Holst);St;ARD;3598459,315;5967644,674;53,83050242;10,49429561
1120;0;102380087;23,8 + 87;Bad Oldesloe;St;AO;3591156,327;5964690,704;53,80529988;10,38253739
1120;0;102990071;29,9 + 71;Kupfermuehle;Sp;AKUP;3587568,749;5959848,83;53,76242408;10,32672388
1120;0;103540005;35,4 + 5;Bargteheide;St;ABAE;3583830,359;5955968,958;53,72818684;10,26900058
1120;0;103990010;39,9 + 10;Ahrensburg-Gartenholz;Sp;AAHG;3582774,805;5951593,738;53,68905399;10,2518443
1120;0;104030000;40,3 + 0;Ahrensburg Nord;Rerout;AAHN;3582687,497;5951213,742;53,6856544;10,25042188
1120;0;104240037;42,4 + 37;Ahrensburg;St;AAHR;3581778,304;5949379,371;53,66931954;10,23618111
1120;0;105160065;51,6 + 65;Hamburg-Rahlstedt;St;ARAL;3576477,626;5942110,422;53,60482284;10,15421471
1120;0;105440036;54,4 + 36;Hamburg-Tonndorf;Sp;AOW;3574540,233;5940128,127;53,58729407;10,12447938
1120;0;105820000;58,2 + 0;Hamburg-Wandsbek;St;AWN;3571431,302;5938151,934;53,56997307;10,07708953
1120;0;105960089;59,6 + 89;Hamburg Hasselbrook;Sp;AHSF;3570068,951;5937552,916;53,56477517;10,05639495
1120;0;106160071;61,6 + 71;Hamburg Berliner Tor (uest);Cro;AHBT;3568294,351;5936748,332;53,55778064;10,02944042
1120;0;106380096;63,8 + 96;Hamburg Main Station;St;AH;3566780,928;5936258,81;53,5535773;10,00650182
1121;0;100240082;2,4 + 82;Luebeck Hgbf Swch;Stp Swch;ALRA;3609024,624;5970065,37;53,85013677;10,65555431
1121;0;100450012;4,5 + 12;Luebeck Hochschulstadtteil;Sp;ALHS;3611273,357;5967936,448;53,83054135;10,68893948
1121;0;100740009;7,4 + 9;Luebeck Flughafen;Sp;ALB;3611881,409;5965103,849;53,80497229;10,69714209
1121;0;101350073;13,5 + 73;Pogeez;St;APOF;3614023,521;5959485,603;53,7540526;10,72756789
1121;0;101990050;19,9 + 50;Ratzeburg;St;ARF;3615032,244;5953304,86;53,6983243;10,74055891
1121;0;102920030;29,2 + 30;Moelln (Lauenburg);St;AMLN;3611425,884;5944995,199;53,62447604;10,68300464
1121;0;103930048;39,3 + 48;Guester;St;AGUE;3609907,887;5935320,11;53,53790212;10,65666946
1122;0;100600020;6,0 + 20;Strecknitz;Swch;ASTR;3611780,712;5969272,689;53,84243299;10,69712707
1122;0;100640036;6,4 + 36;Luebeck St Juergen;Sp;ALSJ;3612196,602;5969271,682;53,84233443;10,70344224
1122;0;101020000;10,2 + 0;Herrnburg;St;WHB;3615917,18;5968848,45;53,83771803;10,75978046
1122;0;101120080;11,2 + 80;Luedersdorf (Meckl);Sp;WLF;3619574,987;5968409,708;53,83295042;10,81514671
1122;0;101940007;19,4 + 7;Schoenberg (Meckl);St;WSBG;3626967,673;5970912,553;53,8536738;10,92840386
1122;0;102530041;25,3 + 41;Menzendorf;St;WMEF;3632537,424;5970449,003;53,84812193;11,01279261
1122;0;102900040;29,0 + 40;Grieben (Meckl);St;WGBN;3636199,196;5970909,86;53,85131391;11,06859907
1122;0;103670000;36,7 + 0;Grevesmuehlen;St;WGV;3643795,714;5971812,274;53,85737104;11,18437182
1122;0;104410052;44,1 + 52;Plueschow;Sp;WPSW;3650554,591;5969768,54;53,83711048;11,2860104
1122;0;105050070;50,5 + 70;Bobitz;St;WBO;3655727,819;5966318,581;53,80461773;11,36278363
1122;0;105930020;59,3 + 20;Bad Kleinen;St;WK;3662714,175;5962337,39;53,76674595;11,46663175
1122;0;106760000;67,6 + 0;Ventschow;Sp Cro;WVE;3670099,436;5964878,688;53,78719991;11,57991664
1122;0;107680000;76,8 + 0;Blankenberg (Meckl);St;WBL;3679069,979;5963547,617;53,77224988;11,71509879
1122;0;108960060;89,6 + 60;Warnow (Meckl);St;WWRN;3689326,132;5965819,411;53,78901379;11,87185441
1122;0;109980070;99,8 + 70;Buetzow;St;WB;3697445,856;5971545,786;53,83738062;11,99855709
1122;0;110660081;106,6 + 81;Schwiesower Forst;St o.S.;WSWF;3703366,1;5971081,687;53,83093689;12,08805244
1122;0;111250000;112,5 + 0;Guestrow GSt;Stp;WG  G;3708483,514;5968454,012;53,80533955;12,16388097
1122;0;111320063;113,2 + 63;Guestrow;St;WG;3709070,432;5967966,565;53,80073151;12,17244564
1122;0;111670049;116,7 + 49;Priemerburg - NUP Guestrow;St;WPI;3712419,529;5967593,865;53,79603366;12,222939
