"id","extralabel","name","latitude","longitude"
"FR0000000417","Junction","Bif de Chambéry (Culoz)","45.8451524","5.7860211"
"FR9900001465","FreightTerminal","Jeandelize","49.1635696","5.788976"
"FR0000004207","Station","Foug","48.6792343","5.7911915"
"FR9900003335","Junction","Accès à Faisceau impair","43.8222044","5.7924417"
"FR0000004548","Station","Manosque-Gréoux-les-Bains","43.8230898","5.7934147"
"FR0000008751","DepotOrWorkshop","Faisceau pair","43.8252357","5.7957276"
"FR0000005794","DepotOrWorkshop","Faisceau impair","43.8255007","5.7960122"
"FR9900003066","DepotOrWorkshop","Faisceau Mouchard V9 Garage","46.9776565","5.797758"
"FR0000001283","Junction","Bif 850000/880000","46.977641","5.7977954"
"FR0000007405","DepotOrWorkshop","Faisceau Mouchard V5 à V21","46.9775153","5.7981103"
"FR0000003383","Station","Mouchard","46.9769852","5.7998062"
"FR0000006063","DepotOrWorkshop","Faisceau pair Mouchard","46.9768126","5.8006526"
"FR0000000801","Junction","Bif 202000/202100","49.5411113","5.8021328"
"FR0000012762","Junction","Accès à Faisceau Mouchard V5 à V21","46.976693","5.8048483"
"FR0000009150","TrainTechnicalServices","EMT Marseille UPT Blancarde Résid T  Veynes","44.5260077","5.8058101"
"FR0000001447","Junction","Bif 850000/870000","46.9766749","5.8060588"
"FR0000005037","Station","Vions-Chanaz","45.8244962","5.8069865"
"FR0000005378","DepotOrWorkshop","Faisceau Mouchard V18 Garage","46.9765089","5.8077655"
"FR0000007620","DepotOrWorkshop","Faisceau impair","44.5274833","5.8086104"
"FR0000002232","Station","St-Vit","47.1836209","5.8087875"
"FR0000005920","DepotOrWorkshop","Faisceau Pair","47.183859","5.8095632"
"FR9900004648","Junction","Technical change","49.5432698","5.8105187"
"FR0000008888","DepotOrWorkshop","Faisceau pair","44.5287101","5.8108578"
"FR0000006023","DepotOrWorkshop","Faisceau Impair","47.1845017","5.8116905"
"FR9900004552","Junction","Technical change","46.9748136","5.8122971"
"EU00088","BorderPoint","Frontière FR-BE (Longwy - Aubange)","49.5474178","5.8128487"
"FR0000007725","PrivateSiding","Fonderies Pont-à-Mousson S A","48.676507","5.8130186"
"FR0000003890","Station","Aiguebelette-le-Lac","45.5362246","5.8130765"
"FR9900002095","Junction","Technical change","46.0848787","5.8135791"
"FR0000008918","PrivateSiding","Sidefage","46.0877046","5.8142808"
"FR0000000437","Junction","Bif 001000/050000","47.8470718","5.8147768"
"FR0000007043","DepotOrWorkshop","Faisceau impair","44.3167733","5.8155264"
"FR0000003125","Station","Veynes-Dévoluy","44.531928","5.8160153"
"FR0000009594","PrivateSiding","SOFREM","46.0975662","5.8167154"
"FR0000001257","Junction","Bif 070000/070953","48.6757524","5.8173923"
"FR0000006722","DepotOrWorkshop","Faisceau Pair","46.1042343","5.8177092"
"FR0000003620","Station","Laragne","44.3165724","5.819248"
"FR0000005832","DepotOrWorkshop","Faisceau pair","44.5326513","5.8193532"
"FR9900003439","Junction","Accès à Faisceau Pair","46.1062976","5.8194192"
"FR0000005555","DepotOrWorkshop","Faisceau Impair","46.1065034","5.819629"
"FR0000012285","Junction","Accès à Faisceau impair","44.3164991","5.8207448"
"FR0000002634","Station","Liesle","47.0587808","5.8208062"
"FR0000006715","PrivateSiding","Unico","47.1879957","5.8231605"
"FR9900003520","PrivateSiding","Bozel-Electrométallurgie","45.9129933","5.8235554"
"FR9900001242","FreightTerminal","Anglefort","45.9146757","5.8237104"
"FR0000002489","Station","Ollioules-Sanary-sur-Mer","43.1225167","5.8245941"
"FR9900001574","Station","Martigny-les-Bains","48.1086604","5.8255864"
"FR0000000526","Junction","Bif 070000/070331","48.6753768","5.8257228"
"FR0000004554","Station","Bellegarde","46.1112406","5.8261622"
"FR0000007730","PrivateSiding","ITE Km 10.8","45.2006216","5.827481"
"FR0000001651","Junction","Bif 884000/890000","46.1101483","5.8284914"
"FR9900001397","FreightTerminal","Domène","45.2016525","5.8290984"
"FR0000004365","Station","Seyssel-Corbonod","45.9630237","5.8313568"
