id;extralabel;name;latitude;longitude
UKN8077;junction;"Gavray;Junction;Dn_BSG.OXD";51.8977000;-01.1423000
UKN8438;junction;"Gifford;St.;Portals;Rtr1/rtr2;Up_CBI.CRF1.ECM1";51.5415000;-00.1228000
UKN7231;junction;"Gorgie;Jn(gge;D)_GGE.SUB2";55.9366000;-03.2372000
UKN7239;junction;"Grangemouth;Jn_GMH.PMT";56.0015000;-03.7768000
UKN7203;junction;"Greenburn;Opencast;Junction_GNN.KSH";55.3974000;-04.2006000
UKN8306;junction;"Greensfield;Jn_HLK.LEN3";54.9662000;-01.6076000
UKN8247;junction;"Greensfield;Jn_PLG1.PLG2";54.9657000;-01.6026000
UKN7070;junction;"Grovesend;Colliery;Loop;Junction;No.1_HDY.SDI2";51.7037000;-04.0552000
UKN7567;junction;"Guide;Bridge;Stn;Jcn_DJO1.HNS";53.4662000;-02.1237000
UKN7075;junction;"Gulf;Oil;Branch;Junction_GOB.MIL";51.7419000;-04.9992000
UKN7949;junction;"Hambleton;North;Junction_ECM3.HSC";53.7706000;-01.1474000
UKN7969;junction;"Hartburn;Junction_BOH.LEN3";54.5578000;-01.3267000
UKN7503;junction;"Hartford;(Clc);Jcn_CGJ1.HCN";53.2486000;-02.5675000
UKN7434;junction;"Haughhead;Jn;-;Larkhall_HMN2.LRK";55.7693000;-04.0138000
UKN7538;junction;"Hawkeridge;Junction_SWY.WYL";51.2702000;-02.1884000
UKN7154;junction;"Haydock;Jcn_CGJ5.HOB2";53.4893000;-02.5964000
UKN8003;junction;"Haywards;Heath;(Ardingly;Lne;Connection)_CJA1.VTB3";51.0156000;-00.1050000
UKN7620;junction;"Heald;Green;North;Jcn;(Dn)_MIA.SMA";53.3626000;-02.2460000
UKN7118;junction;"Heamies;Bridge_LEC4.LEC6";52.8744000;-02.2131000
UKN7074;junction;"Herbranston;Junction_ERB.MIL";51.7357000;-05.0241000
UKN7945;junction;"Hessle;Road;Jn_HJS.HUL1";53.7331000;-00.3821000
UKN7182;junction;"Hest;Bank;Jcn_CGJ7.HBL";54.0920000;-02.8143000
UKN8614;junction;"High;Meads;Junction_CHM.CNS.CST.DWW2";51.5416000;-00.0111000
UKN7584;junction;"High;Street;Jn_HST.NEM2";55.8577000;-04.2325000
UKN7800;junction;"Hitchin;East;Jn_DCF.SBR";51.9705000;-00.2523000
UKN8369;junction;"Holbeck;Jn_DOL2.LBE1.MDL1";53.7914000;-01.5684000
UKN7891;junction;"Holmes;Jn_HCD.TJC2.WBH";53.4275000;-01.3785000
UKN7504;junction;"Hooton;South;Jcn;(Up)_CRR1.CRR2.HHJ";53.2932000;-02.9755000
UKN7932;junction;"Horbury;Junction;Dn_CHS.MVN2";53.6587000;-01.5327000
UKN7380;junction;"Huyton;Jcn_DSE.SBH1";53.4099000;-02.8332000
UKN7454;junction;"Hyndland;West;Jn_HYD.NEM3";55.8850000;-04.3247000
UKN7818;junction;Irchester_SPC2.WYM;52.2766000;-00.6251000
UKN7065;junction;Junction_ABD.MOA;51.6782000;-03.3733000
UKN7066;junction;Junction_ABD.MOA;51.6836000;-03.3795000
UKN8113;junction;Junction_ABE1.ACD;52.9353000;-00.6941000
UKN7852;junction;Junction_ABE1.GRS1;52.9710000;-00.6358000
UKN7088;junction;Junction_ABW.OWW;52.1572000;-02.1729000
UKN7784;junction;Junction_ACW.CAW;51.5297000;-00.2546000
UKN7392;junction;Junction_AFL.NMB;53.4696000;-02.9667000
UKN7543;junction;Junction_AFR.FWC.PAC;51.5165000;-02.5685000
UKN8499;junction;Junction_AGW.BTC;51.4845000;+00.0244000
UKN7667;junction;Junction_AHX.HXS1.MAJ;53.3576000;-02.8772000
UKN7860;junction;Junction_AJM1.SPC8;53.0513000;-01.4845000
UKN8097;junction;Junction_ALC2.BJW3;52.6774000;-01.8290000
UKN7155;junction;Junction_AMJ.MVL1;53.4919000;-02.1166000
UKN7156;junction;Junction_AMJ.MVL1;53.4921000;-02.1136000
UKN8402;junction;Junction_ANL.GEC;51.5394000;-00.3337000
UKN7424;junction;Junction_ANN.KCH1;55.4911000;-04.5289000
UKN7450;junction;Junction_ARG2.NEM3;55.8669000;-04.3028000
UKN7526;junction;Junction_ARG2.NEM3;55.8632000;-04.2946000
UKN8360;junction;Junction_ATL.BTH1.CAT;51.4690000;-00.0756000
UKN8038;junction;Junction_ATL.VIR;51.4637000;-00.1212000
UKN8162;junction;Junction_AWP.HBS;53.7473000;-00.3663000
UKN7423;junction;Junction_AYH1.AYH2;55.4740000;-04.6300000
UKN7730;junction;Junction_AYR1.BRD;55.8487000;-04.3004000
UKN7643;junction;Junction_AYR1.GOU1;55.8479000;-04.4189000
UKN7690;junction;Junction_AYR1.GOU1;55.8532000;-04.4051000
UKN7725;junction;Junction_AYR1.LYE;55.8491000;-04.2670000
UKN7431;junction;Junction_AYR3.AYR4;55.6989000;-04.7109000
UKN7428;junction;Junction_AYR4.BYL;55.6432000;-04.7016000
UKN7425;junction;Junction_AYR5.AYR6;55.5322000;-04.6383000
UKN8006;junction;Junction_BAE1.BML1;51.2578000;-01.1453000
UKN7750;junction;Junction_BAE1.RTJ2;51.0776000;-01.7857000
UKN7547;junction;Junction_BAG1.LEL;52.4195000;-01.9263000
UKN7095;junction;Junction_BAG2.STO;52.2993000;-02.0813000
